states,scores
2011020010200101002000000,"[-0.02287, 0.08817, 0, 0, 0]"
2111020010200101002020000,"[0, -1, -1, -1, -0.04562]"
2111022010210101002020000,"[0, -1, -1, -1, -1]"
0010000000000000000000000,"[0.25667, 0, 0, 0, 0]"
2011000000000000000000000,"[0.25322, 0, 0, 0, 0]"
2111020010200000000000000,"[1, -1, -1, -1, 0]"
0021000100000000000000000,"[0.09998, 0, 0, 0, 0]"
2021000110000000000000000,"[0.10068, 0, 0, 0, 0]"
2021020110000100000000000,"[-1, -1, -1, 0.1437, -1]"
2021020110100100002000000,"[0.11998, 0, 0, 0, 0]"
2121020110102100002000000,"[0.01726, 0, 0, 0, 0]"
2121021110102100002000020,"[0.0119, 0, 0, 0, 0]"
2121021110112102002000020,"[0, 0.0119, 0, 0, 0]"
1201022010100200001000000,"[0, 0, 0, 0, 0]"
1201022010110202001000000,"[0.0119, 0, 0, 0, 0]"
1201022010110202101020000,"[0, 0.0119, 0, 0, 0]"
1201022010110202101022010,"[0, 0, 0.0119, 0, 0]"
1221022110110202101022010,"[0, 0, 0.0119, 0, 0]"
1221022110112202111022010,"[0, 0, 0.0119, 0, 0]"
1221122110112202111022210,"[0, 0, 0, 0, 0.0119]"
1221122112112212111022210,"[0, 0, 0, 0, 0.0119]"
2201020010100102002010010,"[0, 0.46553, 0, 0, 0]"
2201022010110102002010010,"[0, 0, 0.18464, 0, 0]"
2201022010110102202011010,"[0, 0, -0.2188, 0, -0.24261]"
2221122010110102202011010,"[0, 0, -1, 0, -0.71506]"
0001200010000000000000000,"[0.10986, 0, 0, 0, 0]"
2001200010000100000000000,"[-1, -1, -1, 0.10484, -1]"
0221000110000000000000000,"[0.05785, 0, 0, 0, 0]"
2221001110000000000000000,"[0.05695, -1, -1, -1, -1]"
2201001010000100002000000,"[0.70429, 0, 0, 0, 0]"
2201011010000100002000020,"[0.06215, 0, 0, 0, 0]"
2201011010200101002000020,"[0.04473, 0, 0, 0, 0]"
2201011010210101002020020,"[0, 0.0774, 0, 0, 0]"
2201011010210101202021020,"[0, 0, -1, 0, 0.07242]"
2201211011210101202021020,"[0, 0, 0, 0, 0.06815]"
0001200010000200001000000,"[0.07167, 0, 0, 0, 0]"
1001200010000200001000020,"[0, 0, 0, 0, 0]"
1201200011000200001000020,"[0.0119, 0, 0, 0, 0]"
1201220011100200001000020,"[0.0119, 0, 0, 0, 0]"
1201220011100202001010020,"[0, 0, 0, 0, 0]"
1221221011100202001010020,"[0, 0.0119, 0, 0, 0]"
1221221011120202101010020,"[0, -1, 0, 0, 0]"
1021000000000000000000000,"[0.06625, 0, 0, 0, 0]"
1021010200000000000000000,"[0.03395, 0, 0, 0, 0]"
1221010200100000000000000,"[0, 0, 0, -1, 0]"
0201001020000100000000000,"[0.05412, 0, 0, 0, 0]"
0201001020020100001000000,"[0.03437, 0, 0, 0, 0]"
2201011020020100001000000,"[0.02232, 0, 0, 0, 0]"
2201011020220100101000000,"[0.01726, 0, 0, 0, 0]"
2201011020220102101000010,"[0.0119, 0, 0, 0, 0]"
2201011020220102101021010,"[0, 0, 0, 0, 0]"
2201211021220102101021010,"[0, 0, 0, 0, 0]"
2221211121220102101021010,"[0, 0, -1, 0, 0]"
2201021010100102002010000,"[0, -0.05436, -0.05741, 0.05471, -0.032]"
2201021010120102102010000,"[0, -0.32646, -0.31732, -0.08067, -0.25362]"
2201021010120102102012010,"[0, 0, -0.65538, 0, -0.64787]"
2221121010120102102012010,"[0, 0, -1, 0, -0.76352]"
2011220010100102002010000,"[0, 0.09736, 0, 0, 0]"
2211221010100102002010000,"[0, -0.01291, -0.4244, -0.10841, 0.05231]"
2211221010120102102010000,"[0, -0.4381, -1, -0.4381, -0.15237]"
2211221110120102102012000,"[0, 0, -1, -1, -1]"
2001010020000100001000020,"[0.01726, 0, 0, 0, 0]"
2001110020200100001000020,"[0.0119, 0, 0, 0, 0]"
2021110120200100001000020,"[0.0119, 0, 0, 0, 0]"
2121110120200102001000020,"[0.0119, 0, 0, 0, 0]"
2121110120201102001020020,"[0, 0.0119, 0, 0, 0]"
2121112120211102001020020,"[0, 0.0119, 0, 0, 0]"
2121112121211102201020020,"[0, -1, 0, 0, 0]"
2111221010200001000020000,"[0, 0.04403, 0, 0, 0]"
2111221110220001000020000,"[0, 0.02769, 0, 0, 0]"
2111221110221201000020000,"[0, -1, 0, 0, 0]"
2001020020100102001010000,"[0, 0.05111, 0, 0, 0]"
2201021020100102001010000,"[0, 0.04321, 0, 0, 0]"
2201021020110102001010020,"[0, 0.02767, 0, 0, 0]"
2211021020110102201010020,"[0, 0.0119, 0, 0, 0]"
2211121020110102201012020,"[0, 0, -1, 0, 0]"
2001220010100101002020010,"[0, 0.03462, 0, 0, 0]"
2201221010100101002020010,"[0, 0.03678, 0, 0, 0]"
2201221011120101002020010,"[0, 0.02321, -1, 0, 0]"
2201221011120101202021010,"[0, 0, 0, 0, 0.0119]"
2221121012120112102012010,"[0, 0, -1, 0, -0.87593]"
2101020010000100002000000,"[0.49102, 0, 0, 0, 0]"
2101221010000100002000000,"[0.20902, 0, 0, 0, 0]"
2101221010200101002000000,"[0.06451, 0, 0, 0, 0]"
2101221010210101002020000,"[0, 0.04602, 0, -1, -1]"
2101221011210101202020000,"[0, 0.03975, 0, 0, 0]"
2101221011210111202022000,"[0, 0, -1, 0, 0]"
2121221011210111202122000,"[0, 0, -1, 0, 0]"
1001000020000000000000000,"[0.06599, 0, 0, 0, 0]"
1001010020000200000000000,"[0, 0, 0, 0, 0]"
1001010020200201000000000,"[0.0119, 0, 0, 0, 0]"
1101010020200201000020000,"[0, -1, 0, 0, 0]"
0011200000000000000000000,"[0.16174, 0, 0, 0, 0]"
2011200010000000000000000,"[0.1145, 0, 0, 0, 0]"
2011220010000100000000000,"[-1, -1, -1, 0.10619, -1]"
2101020010200101000020000,"[0, -1, -1, 0.02372, 0]"
1021020100000000000000000,"[0.05928, 0, 0, 0, 0]"
1021020100200001000000000,"[0.03282, 0, 0, 0, 0]"
1021020100201001000020000,"[0, 0.035, 0, 0, 0]"
1121220100201001000020000,"[0, 0, 0.02083, 0, 0]"
2101220011000000000000000,"[0.05348, 0, 0, 0, 0]"
2101220011200001000000000,"[0, 0, 0, 0, 0]"
2101221011200001000020000,"[0, 0.03098, 0, 0, 0]"
2101221011220101000020000,"[0, -1, -1, 0.03529, 0]"
2201211010000100002000000,"[0.07344, 0, -1, 0, 0]"
2211211010200100002000000,"[-1, -1, 0, 0, 0]"
2001220010100100000000000,"[-1, -1, -1, 0.08111, 0]"
2001220010100102000010000,"[0, -1, 0, 0, 0]"
2211220010100102000010000,"[0, -1, 0, 0, 0]"
2211221210101102002010000,"[0, -1, -1, -1, -1]"
2211221210121102012010000,"[0, 0.0119, 0, 0, 0]"
2211221210121102212011000,"[0, 0, -1, 0, 0]"
2001120010000000000000000,"[0.17223, 0, 0, 0, 0]"
2001120010200001000000000,"[-0.0299, 0.16153, 0, 0, 0]"
2101120010200001000020000,"[0, -0.18524, -0.10039, -1, -1]"
2101122010210001000020000,"[0, -1, -0.65715, -1, -0.2846]"
2001010000000000000000000,"[0.09915, 0, 0, 0, 0]"
2001210010000000000000000,"[0.06752, 0, 0, 0, 0]"
2021210110000000000000000,"[0.05012, -1, 0, 0, 0]"
2021210110200001000000000,"[0.02825, 0, 0, 0, 0]"
2121210110202001000000000,"[0.0119, 0, 0, -1, 0]"
2221121012120112102212011,"[0, 0, -1, 0, 0]"
1011020000200000000000000,"[-1, 0.05638, -1, -1, 0]"
2001120010000100002000000,"[0.1245, 0, 0, 0, 0]"
2001120010200101002000000,"[-0.00923, 0, 0, 0, 0]"
2021120110200101002000000,"[-0.08405, 0, 0, 0, 0]"
2121120110200101002020000,"[0, -0.4381, -0.42917, -0.4259, -0.26013]"
2121122110201101002020000,"[0, -1, -1, -1, -1]"
2101220010000100000000000,"[-1, -1, -1, 0.21574, -1]"
2001210010000100002000000,"[0.09191, 0, 0, 0, 0]"
2201211011200100002000000,"[0.05531, 0, -1, 0, 0]"
2201211011200102002010000,"[0, 0.03818, -1, 0, 0]"
2201211011220102102010000,"[0, -0.4381, -1, -0.26761, 0.01726]"
2211211011220102102012000,"[0, 0, -1, -1, -1]"
2021020010100100000000000,"[-1, -1, -1, 0.09647, -1]"
0021100000000000000000000,"[0.08404, 0, 0, 0, 0]"
2021100010000000000000000,"[0.06039, 0, 0, 0, 0]"
